Definition,Infinitive,Present Participle,Past Participle,Principal Parts of the Verb,Present,1st Person Singular,2nd Person Singular,3rd Person Singular,1st Person Plural,2nd Person Plural,3rd Person Plural,Perfect,1st Person Singular,2nd Person Singular,Third Person Singular,1st Person Plural,2nd Person Plural,3rd Person Plural,Past,1st Person Singular,2nd Person Singular,Third Person Singular,1st Person Plural,2nd Person Plural,3rd Person Plural,Pluperfect,1st Person Singular,2nd Person Singular,Third Person Singular,1st Person Plural,2nd Person Plural,3rd Person Plural,Future I,1st Person Singular,2nd Person Singular,Third Person Singular,1st Person Plural,2nd Person Plural,3rd Person Plural,Future II,1st Person Singular,2nd Person Singular,Third Person Singular,1st Person Plural,2nd Person Plural,3rd Person Plural,Present,1st Person Singular,2nd Person Singular,Third Person Singular,1st Person Plural,2nd Person Plural,3rd Person Plural,Perfect,1st Person Singular,2nd Person Singular,Third Person Singular,1st Person Plural,2nd Person Plural,3rd Person Plural,Past,1st Person Singular,2nd Person Singular,Third Person Singular,1st Person Plural,2nd Person Plural,3rd Person Plural,Pluperfect,1st Person Singular,2nd Person Singular,Third Person Singular,1st Person Plural,2nd Person Plural,3rd Person Plural,Present,1st Person Singular,2nd Person Singular,Third Person Singular,1st Person Plural,2nd Person Plural,3rd Person Plural,Perfect,1st Person Singular,2nd Person Singular,Third Person Singular,1st Person Plural,2nd Person Plural,3rd Person Plural,Imperative,2nd Person Singular,,2nd Person Plural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
to ache,schmerzen,schmerzend,geschmerzt,schmerzen - schmerzt - schmerzte - hat geschmerzt,ich,schmerze,schmerzt,schmerzt,schmerzen,schmerzt,schmerzen,ich,habe geschmerzt,hast geschmerzt,hat geschmerzt,haben geschmerzt,habt geschmerzt,haben geschmerzt,ich,schmerzte,schmerztest,schmerzte,schmerzten,schmerztet,schmerzten,ich,hatte geschmerzt,hattest geschmerzt,hatte geschmerzt,hatten geschmerzt,hattet geschmerzt,hatten geschmerzt,ich,werde schmerzen,wirst schmerzen,wird schmerzen,werden schmerzen,werdet schmerzen,werden schmerzen,ich,werde geschmerzt haben,wirst geschmerzt haben,wird geschmerzt haben,werden geschmerzt haben,werdet geschmerzt haben,werden geschmerzt haben,ich,schmerze,schmerzest,schmerze,schmerzen,schmerzet,schmerzen,ich,habe geschmerzt,habest geschmerzt,habe geschmerzt,haben geschmerzt,habet geschmerzt,haben geschmerzt,ich,schmerzte,schmerztest,schmerzte,schmerzten,schmerztet,schmerzten,ich,hätte geschmerzt,hättest geschmerzt,hätte geschmerzt,hätten geschmerzt,hättet geschmerzt,hätten geschmerzt,ich,würde schmerzen,würdest schmerzen,würde schmerzen,würden schmerzen,würdet schmerzen,würden schmerzen,ich,würde geschmerzt haben,würdest geschmerzt haben,würde geschmerzt haben,würden geschmerzt haben,würdet geschmerzt haben,würden geschmerzt haben,du,schmerze,ihr,schmerzt,English,English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
to grease sth.,schmieren,schmierend,schmiert,schmieren - schmiert - schmierte - hat schmiert,ich,schmiere,schmierst,schmiert,schmieren,schmiert,schmieren,ich,habe schmiert,hast schmiert,hat schmiert,haben schmiert,habt schmiert,haben schmiert,ich,schmierte,schmiertest,schmierte,schmierten,schmiertet,schmierten,ich,hatte schmiert,hattest schmiert,hatte schmiert,hatten schmiert,hattet schmiert,hatten schmiert,ich,werde schmieren,wirst schmieren,wird schmieren,werden schmieren,werdet schmieren,werden schmieren,ich,werde schmiert haben,wirst schmiert haben,wird schmiert haben,werden schmiert haben,werdet schmiert haben,werden schmiert haben,ich,schmiere,schmierest,schmiere,schmieren,schmieret,schmieren,ich,habe schmiert,habest schmiert,habe schmiert,haben schmiert,habet schmiert,haben schmiert,ich,schmierte,schmiertest,schmierte,schmierten,schmiertet,schmierten,ich,hätte schmiert,hättest schmiert,hätte schmiert,hätten schmiert,hättet schmiert,hätten schmiert,ich,würde schmieren,würdest schmieren,würde schmieren,würden schmieren,würdet schmieren,würden schmieren,ich,würde schmiert haben,würdest schmiert haben,würde schmiert haben,würden schmiert haben,würdet schmiert haben,würden schmiert haben,du,schmiere,ihr,schmiert,English,English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
to cut,schneiden,schneidend,geschnitten,schneiden - schneidet - schnitt - hat geschnitten,ich,schneide,schneidest,schneidet,schneiden,schneidet,schneiden,ich,habe geschnitten,hast geschnitten,hat geschnitten,haben geschnitten,habt geschnitten,haben geschnitten,ich,schnitt,schnittest,schnitt,schnitten,schnittet,schnitten,ich,hatte geschnitten,hattest geschnitten,hatte geschnitten,hatten geschnitten,hattet geschnitten,hatten geschnitten,ich,werde schneiden,wirst schneiden,wird schneiden,werden schneiden,werdet schneiden,werden schneiden,ich,werde geschnitten haben,wirst geschnitten haben,wird geschnitten haben,werden geschnitten haben,werdet geschnitten haben,werden geschnitten haben,ich,schneide,schneidest,schneide,schneiden,schneidet,schneiden,ich,habe geschnitten,habest geschnitten,habe geschnitten,haben geschnitten,habet geschnitten,haben geschnitten,ich,schnitte,schnittest,schnitte,schnitten,schnittet,schnitten,ich,hätte geschnitten,hättest geschnitten,hätte geschnitten,hätten geschnitten,hättet geschnitten,hätten geschnitten,ich,würde schneiden,würdest schneiden,würde schneiden,würden schneiden,würdet schneiden,würden schneiden,ich,würde geschnitten haben,würdest geschnitten haben,würde geschnitten haben,würden geschnitten haben,würdet geschnitten haben,würden geschnitten haben,du,schneide,ihr,schneidet,English,English,English,English,English,English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meteo. to snow,schneien,schneiend,geschneit,schneien - schneit - schneite - hat geschneit,ich,schneie,schneist,schneit,schneien,schneit,schneien,ich,habe geschneit,hast geschneit,hat geschneit,haben geschneit,habt geschneit,haben geschneit,ich,schneite,schneitest,schneite,schneiten,schneitet,schneiten,ich,hatte geschneit,hattest geschneit,hatte geschneit,hatten geschneit,hattet geschneit,hatten geschneit,ich,werde schneien,wirst schneien,wird schneien,werden schneien,werdet schneien,werden schneien,ich,werde geschneit haben,wirst geschneit haben,wird geschneit haben,werden geschneit haben,werdet geschneit haben,werden geschneit haben,ich,schneie,schneiest,schneie,schneien,schneiet,schneien,ich,habe geschneit,habest geschneit,habe geschneit,haben geschneit,habet geschneit,haben geschneit,ich,schneite,schneitest,schneite,schneiten,schneitet,schneiten,ich,hätte geschneit,hättest geschneit,hätte geschneit,hätten geschneit,hättet geschneit,hätten geschneit,ich,würde schneien,würdest schneien,würde schneien,würden schneien,würdet schneien,würden schneien,ich,würde geschneit haben,würdest geschneit haben,würde geschneit haben,würden geschneit haben,würdet geschneit haben,würden geschneit haben,du,schneie,ihr,schneit,English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
to write,schreiben,schreibend,geschrieben,schreiben - schreibt - schrieb - hat geschrieben,ich,schreibe,schreibst,schreibt,schreiben,schreibt,schreiben,ich,habe geschrieben,hast geschrieben,hat geschrieben,haben geschrieben,habt geschrieben,haben geschrieben,ich,schrieb,schriebst,schrieb,schrieben,schriebt,schrieben,ich,hatte geschrieben,hattest geschrieben,hatte geschrieben,hatten geschrieben,hattet geschrieben,hatten geschrieben,ich,werde schreiben,wirst schreiben,wird schreiben,werden schreiben,werdet schreiben,werden schreiben,ich,werde geschrieben haben,wirst geschrieben haben,wird geschrieben haben,werden geschrieben haben,werdet geschrieben haben,werden geschrieben haben,ich,schreibe,schreibest,schreibe,schreiben,schreibet,schreiben,ich,habe geschrieben,habest geschrieben,habe geschrieben,haben geschrieben,habet geschrieben,haben geschrieben,ich,schriebe,schriebest,schriebe,schrieben,schriebet,schrieben,ich,hätte geschrieben,hättest geschrieben,hätte geschrieben,hätten geschrieben,hättet geschrieben,hätten geschrieben,ich,würde schreiben,würdest schreiben,würde schreiben,würden schreiben,würdet schreiben,würden schreiben,ich,würde geschrieben haben,würdest geschrieben haben,würde geschrieben haben,würden geschrieben haben,würdet geschrieben haben,würden geschrieben haben,du,schreibe,schreib,ihr,schreibt,English,English,English,English,English,English,English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
to stride [walk with long steps],schreiten,schreitend,geschritten,schreiten - schreitet - schritt - ist geschritten,ich,schreite,schreitest,schreitet,schreiten,schreitet,schreiten,ich,bin geschritten,bist geschritten,ist geschritten,sind geschritten,seid geschritten,sind geschritten,ich,schritt,schrittest,schritt,schritten,schrittet,schritten,ich,war geschritten,warst geschritten,war geschritten,waren geschritten,wart geschritten,waren geschritten,ich,werde schreiten,wirst schreiten,wird schreiten,werden schreiten,werdet schreiten,werden schreiten,ich,werde geschritten sein,wirst geschritten sein,wird geschritten sein,werden geschritten sein,werdet geschritten sein,werden geschritten sein,ich,schreite,schreitest,schreite,schreiten,schreitet,schreiten,ich,sei geschritten,seiest geschritten,sei geschritten,seien geschritten,seiet geschritten,seien geschritten,ich,schritte,schrittest,schritte,schritten,schrittet,schritten,ich,wäre geschritten,wärest geschritten,wäre geschritten,wären geschritten,wäret geschritten,wären geschritten,ich,würde schreiten,würdest schreiten,würde schreiten,würden schreiten,würdet schreiten,würden schreiten,ich,würde geschritten sein,würdest geschritten sein,würde geschritten sein,würden geschritten sein,würdet geschritten sein,würden geschritten sein,du,schreite,ihr,schreitet,English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
to hover,schweben,schwebend,geschwebt,schweben - schwebt - schwebte - hat geschwebt,ich,schwebe,schwebst,schwebt,schweben,schwebt,schweben,ich,habe geschwebt,hast geschwebt,hat geschwebt,haben geschwebt,habt geschwebt,haben geschwebt,ich,schwebte,schwebtest,schwebte,schwebten,schwebtet,schwebten,ich,hatte geschwebt,hattest geschwebt,hatte geschwebt,hatten geschwebt,hattet geschwebt,hatten geschwebt,ich,werde schweben,wirst schweben,wird schweben,werden schweben,werdet schweben,werden schweben,ich,werde geschwebt haben,wirst geschwebt haben,wird geschwebt haben,werden geschwebt haben,werdet geschwebt haben,werden geschwebt haben,ich,schwebe,schwebest,schwebe,schweben,schwebet,schweben,ich,habe geschwebt,habest geschwebt,habe geschwebt,haben geschwebt,habet geschwebt,haben geschwebt,ich,schwebte,schwebtest,schwebte,schwebten,schwebtet,schwebten,ich,hätte geschwebt,hättest geschwebt,hätte geschwebt,hätten geschwebt,hättet geschwebt,hätten geschwebt,ich,würde schweben,würdest schweben,würde schweben,würden schweben,würdet schweben,würden schweben,ich,würde geschwebt haben,würdest geschwebt haben,würde geschwebt haben,würden geschwebt haben,würdet geschwebt haben,würden geschwebt haben,du,schwebe,ihr,schwebt,English,English,English,English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
to silence [rare] [to cease speaking],schweigen,schweigend,geschwiegen,schweigen - schweigt - schwieg - hat geschwiegen,ich,schweige,schweigst,schweigt,schweigen,schweigt,schweigen,ich,habe geschwiegen,hast geschwiegen,hat geschwiegen,haben geschwiegen,habt geschwiegen,haben geschwiegen,ich,schwieg,schwiegst,schwieg,schwiegen,schwiegt,schwiegen,ich,hatte geschwiegen,hattest geschwiegen,hatte geschwiegen,hatten geschwiegen,hattet geschwiegen,hatten geschwiegen,ich,werde schweigen,wirst schweigen,wird schweigen,werden schweigen,werdet schweigen,werden schweigen,ich,werde geschwiegen haben,wirst geschwiegen haben,wird geschwiegen haben,werden geschwiegen haben,werdet geschwiegen haben,werden geschwiegen haben,ich,schweige,schweigest,schweige,schweigen,schweiget,schweigen,ich,habe geschwiegen,habest geschwiegen,habe geschwiegen,haben geschwiegen,habet geschwiegen,haben geschwiegen,ich,schwiege,schwiegest,schwiege,schwiegen,schwieget,schwiegen,ich,hätte geschwiegen,hättest geschwiegen,hätte geschwiegen,hätten geschwiegen,hättet geschwiegen,hätten geschwiegen,ich,würde schweigen,würdest schweigen,würde schweigen,würden schweigen,würdet schweigen,würden schweigen,ich,würde geschwiegen haben,würdest geschwiegen haben,würde geschwiegen haben,würden geschwiegen haben,würdet geschwiegen haben,würden geschwiegen haben,du,schweige,schweig,ihr,schweigt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
to swim,schwimmen,schwimmend,geschwommen,schwimmen - schwimmt - schwamm - ist geschwommen,ich,schwimme,schwimmst,schwimmt,schwimmen,schwimmt,schwimmen,ich,bin geschwommen,bist geschwommen,ist geschwommen,sind geschwommen,seid geschwommen,sind geschwommen,ich,schwamm,schwammst,schwamm,schwammen,schwammt,schwammen,ich,war geschwommen,warst geschwommen,war geschwommen,waren geschwommen,wart geschwommen,waren geschwommen,ich,werde schwimmen,wirst schwimmen,wird schwimmen,werden schwimmen,werdet schwimmen,werden schwimmen,ich,werde geschwommen sein,wirst geschwommen sein,wird geschwommen sein,werden geschwommen sein,werdet geschwommen sein,werden geschwommen sein,ich,schwimme,schwimmest,schwimme,schwimmen,schwimmet,schwimmen,ich,sei geschwommen,seiest geschwommen,sei geschwommen,seien geschwommen,seiet geschwommen,seien geschwommen,ich,schwömme,schwömmest,schwömme,schwömmen,schwömmet,schwömmen,ich,wäre geschwommen,wärest geschwommen,wäre geschwommen,wären geschwommen,wäret geschwommen,wären geschwommen,ich,würde schwimmen,würdest schwimmen,würde schwimmen,würden schwimmen,würdet schwimmen,würden schwimmen,ich,würde geschwommen sein,würdest geschwommen sein,würde geschwommen sein,würden geschwommen sein,würdet geschwommen sein,würden geschwommen sein,du,schwimme,schwimm,ihr,schwimmt,English,English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[we/they/you] are transpiring [perspiring, sweating]",schwitzen,schwitzend,geschwitzt,schwitzen - schwitzt - schwitzte - hat geschwitzt,ich,schwitze,schwitzt,schwitzt,schwitzen,schwitzt,schwitzen,ich,habe geschwitzt,hast geschwitzt,hat geschwitzt,haben geschwitzt,habt geschwitzt,haben geschwitzt,ich,schwitzte,schwitztest,schwitzte,schwitzten,schwitztet,schwitzten,ich,hatte geschwitzt,hattest geschwitzt,hatte geschwitzt,hatten geschwitzt,hattet geschwitzt,hatten geschwitzt,ich,werde schwitzen,wirst schwitzen,wird schwitzen,werden schwitzen,werdet schwitzen,werden schwitzen,ich,werde geschwitzt haben,wirst geschwitzt haben,wird geschwitzt haben,werden geschwitzt haben,werdet geschwitzt haben,werden geschwitzt haben,ich,schwitze,schwitzest,schwitze,schwitzen,schwitzet,schwitzen,ich,habe geschwitzt,habest geschwitzt,habe geschwitzt,haben geschwitzt,habet geschwitzt,haben geschwitzt,ich,schwitzte,schwitztest,schwitzte,schwitzten,schwitztet,schwitzten,ich,hätte geschwitzt,hättest geschwitzt,hätte geschwitzt,hätten geschwitzt,hättet geschwitzt,hätten geschwitzt,ich,würde schwitzen,würdest schwitzen,würde schwitzen,würden schwitzen,würdet schwitzen,würden schwitzen,ich,würde geschwitzt haben,würdest geschwitzt haben,würde geschwitzt haben,würden geschwitzt haben,würdet geschwitzt haben,würden geschwitzt haben,du,schwitze,ihr,schwitzt,English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
to bless,segnen,segnend,gesegnet,segnen - segnet - segnete - hat gesegnet,ich,segne,segnest,segnet,segnen,segnet,segnen,ich,habe gesegnet,hast gesegnet,hat gesegnet,haben gesegnet,habt gesegnet,haben gesegnet,ich,segnete,segnetest,segnete,segneten,segnetet,segneten,ich,hatte gesegnet,hattest gesegnet,hatte gesegnet,hatten gesegnet,hattet gesegnet,hatten gesegnet,ich,werde segnen,wirst segnen,wird segnen,werden segnen,werdet segnen,werden segnen,ich,werde gesegnet haben,wirst gesegnet haben,wird gesegnet haben,werden gesegnet haben,werdet gesegnet haben,werden gesegnet haben,ich,segne,segnest,segne,segnen,segnet,segnen,ich,habe gesegnet,habest gesegnet,habe gesegnet,haben gesegnet,habet gesegnet,haben gesegnet,ich,segnete,segnetest,segnete,segneten,segnetet,segneten,ich,hätte gesegnet,hättest gesegnet,hätte gesegnet,hätten gesegnet,hättet gesegnet,hätten gesegnet,ich,würde segnen,würdest segnen,würde segnen,würden segnen,würdet segnen,würden segnen,ich,würde gesegnet haben,würdest gesegnet haben,würde gesegnet haben,würden gesegnet haben,würdet gesegnet haben,würden gesegnet haben,du,segne,ihr,segnet,English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
to see,sehen,sehend,gesehen,sehen - sieht - sah - hat gesehen,ich,sehe,siehst,sieht,sehen,seht,sehen,ich,habe gesehen,hast gesehen,hat gesehen,haben gesehen,habt gesehen,haben gesehen,ich,sah,sah(e)st,sah,sahen,saht,sahen,ich,hatte gesehen,hattest gesehen,hatte gesehen,hatten gesehen,hattet gesehen,hatten gesehen,ich,werde sehen,wirst sehen,wird sehen,werden sehen,werdet sehen,werden sehen,ich,werde gesehen haben,wirst gesehen haben,wird gesehen haben,werden gesehen haben,werdet gesehen haben,werden gesehen haben,ich,sehe,sehest,sehe,sehen,sehet,sehen,ich,habe gesehen,habest gesehen,habe gesehen,haben gesehen,habet gesehen,haben gesehen,ich,sähe,sähest,sähe,sähen,sähet,sähen,ich,hätte gesehen,hättest gesehen,hätte gesehen,hätten gesehen,hättet gesehen,hätten gesehen,ich,würde sehen,würdest sehen,würde sehen,würden sehen,würdet sehen,würden sehen,ich,würde gesehen haben,würdest gesehen haben,würde gesehen haben,würden gesehen haben,würdet gesehen haben,würden gesehen haben,du,sieh,ihr,seht,English,English,English,English,English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
his {pron} [determiner],sein,seiend,gewesen,sein - ist - war - ist gewesen,ich,bin,bist,ist,sind,seid,sind,ich,bin gewesen,bist gewesen,ist gewesen,sind gewesen,seid gewesen,sind gewesen,ich,war,warst,war,waren,wart,waren,ich,war gewesen,warst gewesen,war gewesen,waren gewesen,wart gewesen,waren gewesen,ich,werde sein,wirst sein,wird sein,werden sein,werdet sein,werden sein,ich,werde gewesen sein,wirst gewesen sein,wird gewesen sein,werden gewesen sein,werdet gewesen sein,werden gewesen sein,ich,sei,seiest,sei,seien,seiet,seien,ich,sei gewesen,seiest gewesen,sei gewesen,seien gewesen,seiet gewesen,seien gewesen,ich,wäre,wärest,wäre,wären,wäret,wären,ich,wäre gewesen,wärest gewesen,wäre gewesen,wären gewesen,wäret gewesen,wären gewesen,ich,würde sein,würdest sein,würde sein,würden sein,würdet sein,würden sein,ich,würde gewesen sein,würdest gewesen sein,würde gewesen sein,würden gewesen sein,würdet gewesen sein,würden gewesen sein,du,sei,ihr,seid,English,English,English,English,English,English,English,English,English,English,English,English,English,English,English,English,English,English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
to seat oneself,sich setzen,setzend,gesetzt,sich setzen - setzt - setzte - hat gesetzt,ich,setze,setzt,setzt,setzen,setzt,setzen,ich,habe gesetzt,hast gesetzt,hat gesetzt,haben gesetzt,habt gesetzt,haben gesetzt,ich,setzte,setztest,setzte,setzten,setztet,setzten,ich,hatte gesetzt,hattest gesetzt,hatte gesetzt,hatten gesetzt,hattet gesetzt,hatten gesetzt,ich,werde mich setzen,wirst dich setzen,wird sich setzen,werden uns setzen,werdet euch setzen,werden sich setzen,ich,werde mich gesetzt haben,wirst dich gesetzt haben,wird sich gesetzt haben,werden uns gesetzt haben,werdet euch gesetzt haben,werden sich gesetzt haben,ich,setze,setzest,setze,setzen,setzet,setzen,ich,habe gesetzt,habest gesetzt,habe gesetzt,haben gesetzt,habet gesetzt,haben gesetzt,ich,setzte,setztest,setzte,setzten,setztet,setzten,ich,hätte gesetzt,hättest gesetzt,hätte gesetzt,hätten gesetzt,hättet gesetzt,hätten gesetzt,ich,würde mich setzen,würdest dich setzen,würde sich setzen,würden uns setzen,würdet euch setzen,würden sich setzen,ich,würde mich gesetzt haben,würdest dich gesetzt haben,würde sich gesetzt haben,würden uns gesetzt haben,würdet euch gesetzt haben,würden sich gesetzt haben,du,setze,ihr,setzt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
to sigh,seufzen,seufzend,geseufzt,seufzen - seufzt - seufzte - hat geseufzt,ich,seufze,seufzt,seufzt,seufzen,seufzt,seufzen,ich,habe geseufzt,hast geseufzt,hat geseufzt,haben geseufzt,habt geseufzt,haben geseufzt,ich,seufzte,seufztest,seufzte,seufzten,seufztet,seufzten,ich,hatte geseufzt,hattest geseufzt,hatte geseufzt,hatten geseufzt,hattet geseufzt,hatten geseufzt,ich,werde seufzen,wirst seufzen,wird seufzen,werden seufzen,werdet seufzen,werden seufzen,ich,werde geseufzt haben,wirst geseufzt haben,wird geseufzt haben,werden geseufzt haben,werdet geseufzt haben,werden geseufzt haben,ich,seufze,seufzest,seufze,seufzen,seufzet,seufzen,ich,habe geseufzt,habest geseufzt,habe geseufzt,haben geseufzt,habet geseufzt,haben geseufzt,ich,seufzte,seufztest,seufzte,seufzten,seufztet,seufzten,ich,hätte geseufzt,hättest geseufzt,hätte geseufzt,hätten geseufzt,hättet geseufzt,hätten geseufzt,ich,würde seufzen,würdest seufzen,würde seufzen,würden seufzen,würdet seufzen,würden seufzen,ich,würde geseufzt haben,würdest geseufzt haben,würde geseufzt haben,würden geseufzt haben,würdet geseufzt haben,würden geseufzt haben,du,seufze,ihr,seufzt,English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
